# fluctuations.py A_i0=20   B_i0=0   K_i0=100   L_i0=80   N=10000   T=1000   c=1   d=100   e=0.1   g=1.1   v=0.2   Ñ=180   α=0.08   λ=0.3   π_i0=0   φ=0.1   ω=0.002  
  t       firmsNum    firmsNEntry     bankruptcy         firmsK         firmsL          bankB    firmsProfit      rate          bankL     bankProfit
152       22301.00         135.00         377.00     2254077.64     1827769.28         392.66        4096.05    0.0889     1817588.64       -3444.90
153       22059.00         133.00         260.00     2251451.19     1812518.05         291.97        6365.04    0.0895     1802327.46       -1868.75
154       21932.00         131.00         164.00     2254422.83     1804366.46         288.14       11241.73    0.0902     1794443.56        -165.76
155       21899.00         128.00          45.00     2273362.87     1804724.48         173.88        7388.92    0.0910     1795055.45        1834.73
156       21982.00         126.00          11.00     2289589.33     1814989.15          25.67       -6754.77    0.0915     1805098.54        3189.86
157       22097.00         127.00          22.00     2287329.74     1831131.49           2.18        9871.07    0.0912     1821176.20        2377.16
158       22202.00         126.00          13.00     2328244.30     1843014.65           0.32      -17292.73    0.0915     1833072.90        3265.77
159       22315.00         129.00          46.00     2302807.46     1859515.26           1.70       24686.60    0.0908     1849403.37        1235.11
160       22398.00         126.00          17.00     2378022.09     1865486.26          19.33      -14272.26    0.0917     1855587.45        3857.26
161       22507.00         127.00          17.00     2346710.25     1884909.99           1.42        4270.88    0.0913     1874970.41        2653.34
162       22617.00         127.00          24.00     2385425.80     1898276.38           1.79      -40438.15    0.0912     1888244.23        2509.86
163       22720.00         134.00         293.00     2315950.24     1911412.40          14.11       -3584.26    0.0895     1900802.49       -2736.39
164       22561.00         135.00         350.00     2338178.78     1897701.19         259.13       29131.09    0.0889     1887191.08       -3683.95
165       22346.00         130.00          75.00     2384752.86     1879868.83         272.63        6795.32    0.0906     1870067.02        1172.34
166       22401.00         126.00          24.00     2379027.15     1887256.68          37.43        1069.97    0.0915     1877291.87        3224.57
167       22503.00         126.00           6.00     2393031.84     1903433.42           2.50       10736.62    0.0915     1893601.87        3339.68
168       22623.00         125.00           3.00     2432550.02     1920038.08           5.33       19550.03    0.0919     1910312.80        4474.05
169       22745.00         122.00           0.00     2485538.24     1942171.10           0.16       13232.08    0.0927     1932709.68        6798.57
170       22867.00         120.00           0.00     2528574.23     1975854.14           0.00        2162.16    0.0931     1966703.33        8234.87
171       22987.00         121.00           0.00     2563176.39     2016964.06           0.00      -32822.67    0.0929     2007877.69        7805.31
172       23108.00         127.00           5.00     2537410.52     2056585.68           0.00      -14824.55    0.0913     2046904.23        2505.27
173       23230.00         131.00         168.00     2556393.80     2069855.38           0.61        9535.22    0.0902     2059430.60        -859.89
174       23193.00         130.00         113.00     2588270.50     2065217.88         134.43        5153.92    0.0905     2055134.22         444.41
175       23210.00         128.00          64.00     2594324.19     2067984.57          84.65        5457.76    0.0909     2058028.43        1817.91
176       23274.00         127.00          33.00     2612125.91     2077535.18          11.73        8808.30    0.0912     2067541.27        2762.56
177       23368.00         126.00           7.00     2640493.12     2091223.32           8.67       -6286.95    0.0916     2081412.71        3999.55
178       23487.00         127.00          16.00     2641772.60     2111385.35           1.17      -65904.72    0.0913     2101453.81        3122.05
179       23598.00         136.00         492.00     2535493.26     2128091.72           1.00        6239.41    0.0886     2117069.89       -6475.73
180       23242.00         137.00         511.00     2583229.81     2094724.29         531.72       23149.96    0.0884     2084696.26       -6140.67
181       22868.00         132.00         213.00     2597525.82     2066499.65         418.83       12542.27    0.0899     2056651.52       -1060.12
182       22787.00         128.00          48.00     2598817.64     2063447.66          93.32      -23598.29    0.0909     2053445.07        2022.39
183       22867.00         131.00         159.00     2552542.10     2074432.30          10.54       16559.29    0.0902     2064023.63        -624.89
184       22839.00         129.00          87.00     2608534.50     2071096.82          91.81      -35758.71    0.0907     2060951.90        1203.25
185       22881.00         133.00         277.00     2529848.74     2077968.88          45.44       11482.54    0.0896     2067427.18       -2736.52
186       22737.00         132.00         263.00     2577248.95     2064024.55         237.65        7233.85    0.0898     2053971.80       -1527.34
187       22606.00         130.00         101.00     2575953.42     2057259.66         224.08       -1786.05    0.0905     2047523.32         497.58
188       22635.00         129.00          78.00     2571527.72     2061200.61          61.03        8761.39    0.0906     2051131.65         878.17
189       22686.00         128.00          36.00     2597770.49     2065623.25         104.05       25092.37    0.0910     2055827.62        2132.70
190       22778.00         124.00           1.00     2652725.33     2076676.72          19.06      -23161.47    0.0921     2067011.33        5630.58
191       22901.00         127.00           5.00     2612173.73     2105088.97           0.00      -11808.65    0.0913     2095259.52        2928.46
192       23023.00         130.00          84.00     2629383.54     2120214.76           0.06      -25445.24    0.0905     2109901.81         250.63
193       23069.00         134.00         250.00     2594594.82     2121907.64          28.44        7125.55    0.0894     2111155.25       -3227.95
194       22953.00         133.00         286.00     2620611.14     2105570.05         160.42       15248.59    0.0897     2095157.70       -2103.55
195       22800.00         129.00         112.00     2636419.60     2095458.93         162.98      -22220.42    0.0906     2085442.06        1055.07
196       22817.00         131.00         185.00     2585438.12     2101697.99          83.37       -8912.76    0.0901     2091532.29       -1174.31
197       22763.00         133.00         273.00     2587245.07     2096565.91          83.80         908.04    0.0896     2086077.61       -2526.24
198       22623.00         132.00         225.00     2587941.47     2083942.14         269.79       -6539.10    0.0898     2073865.41       -1814.27
199       22530.00         132.00         215.00     2568572.91     2076074.73         203.87       19873.78    0.0898     2066143.03       -1860.73
200       22447.00         129.00          83.00     2609106.72     2067851.76         121.46       18686.89    0.0907     2057858.69        1311.91
201       22493.00         125.00           8.00     2636102.55     2074864.61          27.85        4339.56    0.0918     2065025.52        4548.96
202       22610.00         124.00           0.00     2651263.94     2097559.42           0.08       -8721.53    0.0921     2087909.60        5259.50
203       22734.00         126.00           5.00     2658364.19     2123962.66           0.00      -26298.38    0.0916     2114207.51        3686.29
204       22855.00         130.00         132.00     2635992.42     2142946.11           0.29       -1062.83    0.0903     2132638.94        -434.44
205       22853.00         131.00         196.00     2660509.13     2140690.55         101.87      -10328.05    0.0900     2130468.20       -1067.65
206       22788.00         132.00         216.00     2638371.37     2135601.85         252.30        8751.88    0.0898     2125639.29       -1877.66
207       22704.00         131.00         135.00     2660609.75     2127519.10         175.88      -11520.11    0.0902     2117512.47        -299.11
208       22700.00         131.00         179.00     2631140.19     2127347.57          58.65       32240.19    0.0900     2116896.32       -1026.23
209       22652.00         127.00          32.00     2704172.12     2121804.79         137.65      -13540.20    0.0913     2112058.41        3360.65
210       22747.00         127.00          24.00     2664968.92     2139476.00          17.66        2945.65    0.0912     2129549.96        2544.33
211       22850.00         128.00          25.00     2699773.69     2152334.73          14.38      -10650.61    0.0911     2142359.93        2307.96
212       22953.00         129.00          59.00     2689938.67     2164208.84           5.30       -1650.89    0.0907     2153971.62         948.84
213       23023.00         130.00          81.00     2704717.66     2169069.74          12.67       12740.02    0.0906     2158742.35         560.54
214       23072.00         128.00          35.00     2736978.45     2171612.62          74.82      -27434.86    0.0911     2161608.41        2490.90
215       23165.00         131.00         168.00     2685062.23     2184797.26          18.27       -1665.18    0.0902     2174437.03        -736.29
216       23128.00         132.00         217.00     2708023.11     2181053.84         119.24       10993.81    0.0899     2170846.92       -1463.59
217       23043.00         130.00          97.00     2727327.69     2174164.80         139.48       22893.28    0.0905     2164125.18         692.13
218       23076.00         126.00          19.00     2768673.55     2178219.92          21.22      -22391.77    0.0916     2168283.23        4297.35
219       23183.00         128.00          30.00     2725195.92     2199928.23           1.13       28912.83    0.0910     2189876.10        1837.37
220       23281.00         125.00           7.00     2816916.48     2208875.81          20.43      -29501.70    0.0917     2199068.63        4702.10
221       23399.00         128.00          52.00     2755312.77     2232713.08           0.21       -6202.67    0.0909     2222681.30        1490.70
222       23475.00         131.00         151.00     2782723.01     2240467.60          11.92      -14842.93    0.0903     2230135.85        -396.71
223       23455.00         132.00         239.00     2760007.26     2238632.72          99.17        4692.56    0.0898     2228211.92       -2113.27
224       23348.00         132.00         181.00     2776365.80     2228193.28         203.81       -3833.93    0.0900     2218141.39       -1171.93
225       23299.00         131.00         189.00     2761956.79     2223637.09         105.01       15451.21    0.0901     2213300.78        -857.50
226       23241.00         129.00          57.00     2794716.81     2219115.34         262.39        5716.53    0.0908     2209538.32        1597.46
227       23313.00         127.00          35.00     2802924.04     2228920.71          14.04         273.64    0.0913     2218837.60        2996.58
228       23405.00         127.00          29.00     2815150.93     2243791.02          16.82      -14763.05    0.0913     2233890.68        3046.70
229       23503.00         129.00          75.00     2803456.83     2259380.20           7.89       33756.91    0.0907     2249208.29         911.23
230       23557.00         125.00           4.00     2892560.48     2263638.28          26.07      -85476.73    0.0917     2253803.91        4937.46
231       23678.00         135.00         445.00     2716074.36     2289391.13           0.39       20036.84    0.0889     2278621.58       -5771.51
232       23368.00         135.00         366.00     2814463.17     2259526.61         535.71        8988.12    0.0889     2249765.99       -4533.89
233       23137.00         132.00         194.00     2794878.40     2239585.05         330.73      -20961.28    0.0899     2229775.11       -1267.52
234       23075.00         134.00         321.00     2742177.18     2235369.07         193.42       -9988.58    0.0894     2225091.16       -3155.70
235       22888.00         135.00         334.00     2730633.40     2220288.53         334.46        2530.08    0.0891     2210279.72       -4214.15
236       22689.00         134.00         312.00     2729169.37     2201299.86         209.36        7334.92    0.0894     2190881.30       -2907.16
237       22511.00         132.00         172.00     2729705.85     2187153.66         329.77        2710.82    0.0900     2177392.31        -908.00
238       22471.00         130.00         108.00     2727518.65     2184448.16         224.31       16342.73    0.0904     2174501.12         264.90
239       22493.00         127.00          37.00     2762448.59     2186932.55          58.10       -2267.74    0.0912     2176947.16        2768.44
240       22583.00         127.00          16.00     2758105.84     2200975.51          19.44      -29376.31    0.0913     2191079.87        2926.87
241       22694.00         131.00         164.00     2719325.50     2216163.72          21.78       -2870.34    0.0901     2205811.38       -1158.26
242       22661.00         133.00         202.00     2739946.84     2210546.55         118.59       -9876.03    0.0897     2200128.98       -1926.66
243       22592.00         133.00         247.00     2716425.04     2201316.34         270.02       27703.29    0.0895     2191088.60       -2540.03
244       22478.00         129.00          81.00     2772591.99     2189682.68         170.29      -10017.99    0.0907     2179738.56        1599.41
245       22526.00         129.00          54.00     2736163.67     2198528.53          48.57         477.92    0.0908     2188587.03        1407.82
246       22601.00         129.00          81.00     2757188.46     2206068.83          24.47         297.61    0.0907     2195868.98        1222.87
247       22649.00         129.00          50.00     2765923.40     2212133.37          66.42        4284.75    0.0908     2202105.69        1394.58
248       22728.00         128.00          51.00     2784131.04     2219542.93          23.39        1617.09    0.0910     2209410.67        2079.47
249       22805.00         128.00          33.00     2796070.71     2229994.92           8.17       -9523.48    0.0911     2219924.97        2463.25
250       22900.00         129.00          58.00     2790426.38     2242468.39          11.96      -11720.63    0.0908     2232282.07        1211.92
251       22971.00         131.00         145.00     2785389.48     2248785.89          19.10       14630.09    0.0902     2238401.51        -506.71
252       22957.00         129.00          67.00     2826304.76     2246123.73          79.71      -16616.97    0.0908     2235963.46        1503.61
253       23019.00         130.00         110.00     2789031.19     2254187.52          28.10        7298.21    0.0904     2243880.01          -0.87
254       23039.00         130.00          89.00     2822559.11     2253929.57         131.23        5570.34    0.0906     2244016.17         705.27
255       23080.00         128.00          38.00     2833214.51     2258243.62          52.17       -8066.12    0.0909     2248198.64        1981.82
